date,state,county,place_type,fips,cases,deaths
2020-05-12,Northern Mariana Islands,Unknown,county,,19,2
2020-05-11,Northern Mariana Islands,Unknown,county,,19,2
2020-05-10,Northern Mariana Islands,Unknown,county,,16,2
2020-05-09,Northern Mariana Islands,Unknown,county,,16,2
2020-05-08,Northern Mariana Islands,Unknown,county,,15,2
2020-05-07,Northern Mariana Islands,Unknown,county,,15,2
2020-05-06,Northern Mariana Islands,Unknown,county,,15,2
2020-05-05,Northern Mariana Islands,Unknown,county,,14,2
2020-05-04,Northern Mariana Islands,Unknown,county,,14,2
2020-05-03,Northern Mariana Islands,Unknown,county,,14,2
2020-05-02,Northern Mariana Islands,Unknown,county,,14,2
2020-05-01,Northern Mariana Islands,Unknown,county,,14,2
2020-04-30,Northern Mariana Islands,Unknown,county,,14,2
2020-04-29,Northern Mariana Islands,Unknown,county,,14,2
2020-04-28,Northern Mariana Islands,Unknown,county,,14,2
2020-04-27,Northern Mariana Islands,Unknown,county,,14,2
2020-04-26,Northern Mariana Islands,Unknown,county,,14,2
2020-04-25,Northern Mariana Islands,Unknown,county,,14,2
2020-04-24,Northern Mariana Islands,Unknown,county,,14,2
2020-04-23,Northern Mariana Islands,Unknown,county,,14,2
2020-04-22,Northern Mariana Islands,Unknown,county,,14,2
2020-04-21,Northern Mariana Islands,Unknown,county,,14,2
2020-04-20,Northern Mariana Islands,Unknown,county,,14,2
2020-04-19,Northern Mariana Islands,Unknown,county,,14,2
2020-04-18,Northern Mariana Islands,Unknown,county,,14,2
2020-04-17,Northern Mariana Islands,Unknown,county,,14,2
2020-04-16,Northern Mariana Islands,Unknown,county,,13,2
2020-04-15,Northern Mariana Islands,Unknown,county,,13,2
2020-04-14,Northern Mariana Islands,Unknown,county,,13,2
2020-04-13,Northern Mariana Islands,Unknown,county,,11,2
2020-04-12,Northern Mariana Islands,Unknown,county,,11,2
2020-04-11,Northern Mariana Islands,Unknown,county,,11,2
2020-04-10,Northern Mariana Islands,Unknown,county,,11,2
2020-04-09,Northern Mariana Islands,Unknown,county,,11,2
2020-04-08,Northern Mariana Islands,Unknown,county,,11,2
2020-04-07,Northern Mariana Islands,Unknown,county,,8,2
2020-04-06,Northern Mariana Islands,Unknown,county,,8,1
2020-04-05,Northern Mariana Islands,Unknown,county,,8,1
2020-04-04,Northern Mariana Islands,Unknown,county,,8,1
2020-04-03,Northern Mariana Islands,Unknown,county,,8,1
2020-04-02,Northern Mariana Islands,Unknown,county,,8,1
2020-04-01,Northern Mariana Islands,Unknown,county,,6,1
2020-03-31,Northern Mariana Islands,Unknown,county,,2,0
2020-03-30,Northern Mariana Islands,Unknown,county,,2,0
2020-03-29,Northern Mariana Islands,Unknown,county,,2,0
2020-03-28,Northern Mariana Islands,Unknown,county,,2,0
