dateRep,day,month,year,cases,deaths,geoId,continentExp,countryterritoryCode,popData2018,countriesAndTerritories
14/03/2020,14,3,2020,25,0,RO,Europe,ROU,19473936,Romania
13/03/2020,13,3,2020,19,0,RO,Europe,ROU,19473936,Romania
12/03/2020,12,3,2020,20,0,RO,Europe,ROU,19473936,Romania
11/03/2020,11,3,2020,8,0,RO,Europe,ROU,19473936,Romania
10/03/2020,10,3,2020,2,0,RO,Europe,ROU,19473936,Romania
09/03/2020,9,3,2020,2,0,RO,Europe,ROU,19473936,Romania
08/03/2020,8,3,2020,6,0,RO,Europe,ROU,19473936,Romania
07/03/2020,7,3,2020,1,0,RO,Europe,ROU,19473936,Romania
06/03/2020,6,3,2020,2,0,RO,Europe,ROU,19473936,Romania
04/03/2020,4,3,2020,1,0,RO,Europe,ROU,19473936,Romania
02/03/2020,2,3,2020,0,0,RO,Europe,ROU,19473936,Romania
01/03/2020,1,3,2020,0,0,RO,Europe,ROU,19473936,Romania
29/02/2020,29,2,2020,2,0,RO,Europe,ROU,19473936,Romania
28/02/2020,28,2,2020,0,0,RO,Europe,ROU,19473936,Romania
27/02/2020,27,2,2020,1,0,RO,Europe,ROU,19473936,Romania
26/02/2020,26,2,2020,0,0,RO,Europe,ROU,19473936,Romania
25/02/2020,25,2,2020,0,0,RO,Europe,ROU,19473936,Romania
24/02/2020,24,2,2020,0,0,RO,Europe,ROU,19473936,Romania
23/02/2020,23,2,2020,0,0,RO,Europe,ROU,19473936,Romania
22/02/2020,22,2,2020,0,0,RO,Europe,ROU,19473936,Romania
21/02/2020,21,2,2020,0,0,RO,Europe,ROU,19473936,Romania
20/02/2020,20,2,2020,0,0,RO,Europe,ROU,19473936,Romania
19/02/2020,19,2,2020,0,0,RO,Europe,ROU,19473936,Romania
18/02/2020,18,2,2020,0,0,RO,Europe,ROU,19473936,Romania
17/02/2020,17,2,2020,0,0,RO,Europe,ROU,19473936,Romania
16/02/2020,16,2,2020,0,0,RO,Europe,ROU,19473936,Romania
15/02/2020,15,2,2020,0,0,RO,Europe,ROU,19473936,Romania
14/02/2020,14,2,2020,0,0,RO,Europe,ROU,19473936,Romania
13/02/2020,13,2,2020,0,0,RO,Europe,ROU,19473936,Romania
12/02/2020,12,2,2020,0,0,RO,Europe,ROU,19473936,Romania
11/02/2020,11,2,2020,0,0,RO,Europe,ROU,19473936,Romania
10/02/2020,10,2,2020,0,0,RO,Europe,ROU,19473936,Romania
09/02/2020,9,2,2020,0,0,RO,Europe,ROU,19473936,Romania
08/02/2020,8,2,2020,0,0,RO,Europe,ROU,19473936,Romania
07/02/2020,7,2,2020,0,0,RO,Europe,ROU,19473936,Romania
06/02/2020,6,2,2020,0,0,RO,Europe,ROU,19473936,Romania
05/02/2020,5,2,2020,0,0,RO,Europe,ROU,19473936,Romania
04/02/2020,4,2,2020,0,0,RO,Europe,ROU,19473936,Romania
03/02/2020,3,2,2020,0,0,RO,Europe,ROU,19473936,Romania
02/02/2020,2,2,2020,0,0,RO,Europe,ROU,19473936,Romania
01/02/2020,1,2,2020,0,0,RO,Europe,ROU,19473936,Romania
31/01/2020,31,1,2020,0,0,RO,Europe,ROU,19473936,Romania
30/01/2020,30,1,2020,0,0,RO,Europe,ROU,19473936,Romania
29/01/2020,29,1,2020,0,0,RO,Europe,ROU,19473936,Romania
28/01/2020,28,1,2020,0,0,RO,Europe,ROU,19473936,Romania
27/01/2020,27,1,2020,0,0,RO,Europe,ROU,19473936,Romania
26/01/2020,26,1,2020,0,0,RO,Europe,ROU,19473936,Romania
25/01/2020,25,1,2020,0,0,RO,Europe,ROU,19473936,Romania
24/01/2020,24,1,2020,0,0,RO,Europe,ROU,19473936,Romania
23/01/2020,23,1,2020,0,0,RO,Europe,ROU,19473936,Romania
22/01/2020,22,1,2020,0,0,RO,Europe,ROU,19473936,Romania
21/01/2020,21,1,2020,0,0,RO,Europe,ROU,19473936,Romania
20/01/2020,20,1,2020,0,0,RO,Europe,ROU,19473936,Romania
19/01/2020,19,1,2020,0,0,RO,Europe,ROU,19473936,Romania
18/01/2020,18,1,2020,0,0,RO,Europe,ROU,19473936,Romania
17/01/2020,17,1,2020,0,0,RO,Europe,ROU,19473936,Romania
16/01/2020,16,1,2020,0,0,RO,Europe,ROU,19473936,Romania
15/01/2020,15,1,2020,0,0,RO,Europe,ROU,19473936,Romania
14/01/2020,14,1,2020,0,0,RO,Europe,ROU,19473936,Romania
13/01/2020,13,1,2020,0,0,RO,Europe,ROU,19473936,Romania
12/01/2020,12,1,2020,0,0,RO,Europe,ROU,19473936,Romania
11/01/2020,11,1,2020,0,0,RO,Europe,ROU,19473936,Romania
10/01/2020,10,1,2020,0,0,RO,Europe,ROU,19473936,Romania
09/01/2020,9,1,2020,0,0,RO,Europe,ROU,19473936,Romania
08/01/2020,8,1,2020,0,0,RO,Europe,ROU,19473936,Romania
07/01/2020,7,1,2020,0,0,RO,Europe,ROU,19473936,Romania
06/01/2020,6,1,2020,0,0,RO,Europe,ROU,19473936,Romania
05/01/2020,5,1,2020,0,0,RO,Europe,ROU,19473936,Romania
04/01/2020,4,1,2020,0,0,RO,Europe,ROU,19473936,Romania
03/01/2020,3,1,2020,0,0,RO,Europe,ROU,19473936,Romania
02/01/2020,2,1,2020,0,0,RO,Europe,ROU,19473936,Romania
01/01/2020,1,1,2020,0,0,RO,Europe,ROU,19473936,Romania
31/12/2019,31,12,2019,0,0,RO,Europe,ROU,19473936,Romania
