date,iso,province,city,place_type,cases,deaths
2020-06-29,EC-S,Morona Santiago,,province,202,7
2020-06-30,EC-S,Morona Santiago,,province,202,7
2020-07-01,EC-S,Morona Santiago,,province,796,10
2020-07-02,EC-S,Morona Santiago,,province,796,10
2020-07-03,EC-S,Morona Santiago,,province,909,11
2020-07-04,EC-S,Morona Santiago,,province,909,11
2020-07-05,EC-S,Morona Santiago,,province,909,11
2020-07-06,EC-S,Morona Santiago,,province,909,11
2020-07-07,EC-S,Morona Santiago,,province,909,11
2020-07-08,EC-S,Morona Santiago,,province,909,11
2020-07-09,EC-S,Morona Santiago,,province,909,11
2020-07-10,EC-S,Morona Santiago,,province,909,11
2020-07-11,EC-S,Morona Santiago,,province,909,11
2020-07-12,EC-S,Morona Santiago,,province,909,11
2020-07-13,EC-S,Morona Santiago,,province,1371,13
2020-07-14,EC-S,Morona Santiago,,province,1371,13
2020-07-15,EC-S,Morona Santiago,,province,1409,13
2020-07-16,EC-S,Morona Santiago,,province,1409,13
2020-07-17,EC-S,Morona Santiago,,province,1409,13
2020-07-18,EC-S,Morona Santiago,,province,1409,13
2020-07-19,EC-S,Morona Santiago,,province,1409,13
2020-07-20,EC-S,Morona Santiago,,province,1619,13
2020-07-21,EC-S,Morona Santiago,,province,1658,13
2020-07-22,EC-S,Morona Santiago,,province,1696,13
2020-07-23,EC-S,Morona Santiago,,province,1745,13
2020-07-24,EC-S,Morona Santiago,,province,1745,13
2020-07-25,EC-S,Morona Santiago,,province,1833,13
2020-07-26,EC-S,Morona Santiago,,province,1833,13
2020-07-27,EC-S,Morona Santiago,,province,1888,13
2020-07-28,EC-S,Morona Santiago,,province,1888,13
2020-07-29,EC-S,Morona Santiago,,province,1923,13
2020-07-30,EC-S,Morona Santiago,,province,1923,13
2020-07-31,EC-S,Morona Santiago,,province,1976,13
2020-08-01,EC-S,Morona Santiago,,province,2011,14
2020-08-02,EC-S,Morona Santiago,,province,2011,14
2020-08-03,EC-S,Morona Santiago,,province,2011,14
2020-08-04,EC-S,Morona Santiago,,province,2011,14
2020-08-05,EC-S,Morona Santiago,,province,2011,14
2020-08-06,EC-S,Morona Santiago,,province,2011,14
2020-08-07,EC-S,Morona Santiago,,province,2011,14
2020-08-08,EC-S,Morona Santiago,,province,2011,14
2020-08-09,EC-S,Morona Santiago,,province,2011,14
2020-08-10,EC-S,Morona Santiago,,province,2011,14
2020-08-11,EC-S,Morona Santiago,,province,2190,16
2020-08-12,EC-S,Morona Santiago,,province,2190,16
2020-08-13,EC-S,Morona Santiago,,province,2190,16
2020-08-14,EC-S,Morona Santiago,,province,2190,16
2020-08-15,EC-S,Morona Santiago,,province,2190,16
2020-08-16,EC-S,Morona Santiago,,province,2190,16
2020-08-17,EC-S,Morona Santiago,,province,2190,16
2020-08-18,EC-S,Morona Santiago,,province,2190,16
2020-08-19,EC-S,Morona Santiago,,province,2190,16
2020-08-20,EC-S,Morona Santiago,,province,2190,16
2020-08-21,EC-S,Morona Santiago,,province,2190,16
2020-08-22,EC-S,Morona Santiago,,province,2190,16
2020-08-23,EC-S,Morona Santiago,,province,2190,16
2020-08-24,EC-S,Morona Santiago,,province,2190,16
2020-08-25,EC-S,Morona Santiago,,province,2190,16
2020-08-26,EC-S,Morona Santiago,,province,2410,19
2020-08-27,EC-S,Morona Santiago,,province,2410,19
2020-08-28,EC-S,Morona Santiago,,province,2410,19
2020-08-29,EC-S,Morona Santiago,,province,2410,19
2020-08-30,EC-S,Morona Santiago,,province,2410,19
2020-08-31,EC-S,Morona Santiago,,province,2410,19
2020-09-01,EC-S,Morona Santiago,,province,2410,19
2020-09-02,EC-S,Morona Santiago,,province,2410,19
2020-09-03,EC-S,Morona Santiago,,province,2410,19
2020-09-04,EC-S,Morona Santiago,,province,2498,19
2020-09-05,EC-S,Morona Santiago,,province,2498,19
2020-09-06,EC-S,Morona Santiago,,province,2498,19
2020-09-07,EC-S,Morona Santiago,,province,2498,19
2020-09-08,EC-S,Morona Santiago,,province,2498,19
2020-09-09,EC-S,Morona Santiago,,province,2498,19
2020-09-10,EC-S,Morona Santiago,,province,2498,19
2020-09-11,EC-S,Morona Santiago,,province,2498,19
2020-09-12,EC-S,Morona Santiago,,province,2498,19
2020-09-16,EC-S,Morona Santiago,,province,2578,19
2020-09-17,EC-S,Morona Santiago,,province,2578,19
2020-09-18,EC-S,Morona Santiago,,province,2578,19
2020-09-19,EC-S,Morona Santiago,,province,2578,19
2020-09-20,EC-S,Morona Santiago,,province,2578,19
2020-09-21,EC-S,Morona Santiago,,province,2650,20
2020-09-22,EC-S,Morona Santiago,,province,2650,20
2020-09-23,EC-S,Morona Santiago,,province,2650,20
2020-09-24,EC-S,Morona Santiago,,province,2650,20
2020-09-27,EC-S,Morona Santiago,,province,2650,20
2020-09-28,EC-S,Morona Santiago,,province,2650,20
2020-09-29,EC-S,Morona Santiago,,province,2650,20
2020-09-30,EC-S,Morona Santiago,,province,2650,20
2020-10-01,EC-S,Morona Santiago,,province,2650,20
2020-10-02,EC-S,Morona Santiago,,province,2650,20
2020-10-03,EC-S,Morona Santiago,,province,2650,20
2020-10-04,EC-S,Morona Santiago,,province,2650,20
2020-10-05,EC-S,Morona Santiago,,province,2650,20
2020-10-06,EC-S,Morona Santiago,,province,2650,20
2020-10-07,EC-S,Morona Santiago,,province,2650,20
2020-10-08,EC-S,Morona Santiago,,province,2650,20
2020-10-09,EC-S,Morona Santiago,,province,2650,20
2020-10-10,EC-S,Morona Santiago,,province,2650,20
2020-10-11,EC-S,Morona Santiago,,province,2650,20
2020-10-12,EC-S,Morona Santiago,,province,2650,20
2020-10-13,EC-S,Morona Santiago,,province,2650,20
2020-10-14,EC-S,Morona Santiago,,province,2650,20
2020-10-15,EC-S,Morona Santiago,,province,2650,20
2020-10-16,EC-S,Morona Santiago,,province,2650,20
2020-10-17,EC-S,Morona Santiago,,province,2650,20
2020-10-18,EC-S,Morona Santiago,,province,2650,20
2020-10-19,EC-S,Morona Santiago,,province,2650,20
2020-10-20,EC-S,Morona Santiago,,province,2650,20
2020-10-21,EC-S,Morona Santiago,,province,2650,20
2020-10-22,EC-S,Morona Santiago,,province,2650,20
2020-10-23,EC-S,Morona Santiago,,province,2906,22
2020-10-24,EC-S,Morona Santiago,,province,2906,22
2020-10-25,EC-S,Morona Santiago,,province,2906,22
2020-10-26,EC-S,Morona Santiago,,province,2906,22
2020-10-27,EC-S,Morona Santiago,,province,2906,22
2020-10-28,EC-S,Morona Santiago,,province,2906,22
2020-10-29,EC-S,Morona Santiago,,province,2906,22
2020-10-30,EC-S,Morona Santiago,,province,2906,22
2020-10-31,EC-S,Morona Santiago,,province,2906,22
2020-11-01,EC-S,Morona Santiago,,province,2906,22
2020-11-02,EC-S,Morona Santiago,,province,2906,22
2020-11-03,EC-S,Morona Santiago,,province,2906,22
2020-11-04,EC-S,Morona Santiago,,province,2906,22
2020-11-05,EC-S,Morona Santiago,,province,2906,22
2020-11-06,EC-S,Morona Santiago,,province,2906,22
2020-11-07,EC-S,Morona Santiago,,province,2906,22
2020-11-08,EC-S,Morona Santiago,,province,2906,22
2020-11-09,EC-S,Morona Santiago,,province,2906,22
2020-11-10,EC-S,Morona Santiago,,province,3071,22
2020-11-11,EC-S,Morona Santiago,,province,3071,22
2020-11-12,EC-S,Morona Santiago,,province,3071,22
2020-11-13,EC-S,Morona Santiago,,province,3071,22
2020-11-14,EC-S,Morona Santiago,,province,3071,22
2020-11-15,EC-S,Morona Santiago,,province,3071,22
2020-11-16,EC-S,Morona Santiago,,province,3071,22
2020-11-17,EC-S,Morona Santiago,,province,3071,22
2020-11-18,EC-S,Morona Santiago,,province,3071,22
2020-11-19,EC-S,Morona Santiago,,province,3181,22
2020-11-20,EC-S,Morona Santiago,,province,3181,22
2020-11-21,EC-S,Morona Santiago,,province,3181,22
2020-11-22,EC-S,Morona Santiago,,province,3181,22
2020-11-23,EC-S,Morona Santiago,,province,3236,22
2020-11-24,EC-S,Morona Santiago,,province,3236,22
2020-11-25,EC-S,Morona Santiago,,province,3236,22
2020-11-26,EC-S,Morona Santiago,,province,3236,22
2020-11-27,EC-S,Morona Santiago,,province,3236,22
2020-11-28,EC-S,Morona Santiago,,province,3236,22
2020-11-29,EC-S,Morona Santiago,,province,3236,22
2020-11-30,EC-S,Morona Santiago,,province,3236,22
2020-12-01,EC-S,Morona Santiago,,province,3236,22
2020-12-02,EC-S,Morona Santiago,,province,3236,22
2020-12-03,EC-S,Morona Santiago,,province,3327,33
2020-12-04,EC-S,Morona Santiago,,province,3327,33
2020-12-05,EC-S,Morona Santiago,,province,3327,33
2020-12-06,EC-S,Morona Santiago,,province,3327,33
2020-12-07,EC-S,Morona Santiago,,province,3327,33
2020-12-08,EC-S,Morona Santiago,,province,3327,33
2020-12-09,EC-S,Morona Santiago,,province,3327,33
2020-12-10,EC-S,Morona Santiago,,province,3327,33
2020-12-11,EC-S,Morona Santiago,,province,3327,33
2020-12-12,EC-S,Morona Santiago,,province,3327,33
2020-12-13,EC-S,Morona Santiago,,province,3327,33
2020-12-14,EC-S,Morona Santiago,,province,3327,33
2020-12-15,EC-S,Morona Santiago,,province,3327,33
2020-12-16,EC-S,Morona Santiago,,province,3327,33
2020-12-17,EC-S,Morona Santiago,,province,3327,33
2020-12-18,EC-S,Morona Santiago,,province,3327,33
2020-12-19,EC-S,Morona Santiago,,province,3523,35
2020-12-20,EC-S,Morona Santiago,,province,3523,35
2020-12-21,EC-S,Morona Santiago,,province,3523,35
2020-12-22,EC-S,Morona Santiago,,province,3523,35
2020-12-23,EC-S,Morona Santiago,,province,3523,35
2020-12-24,EC-S,Morona Santiago,,province,3523,35
2020-12-25,EC-S,Morona Santiago,,province,3523,35
2020-12-26,EC-S,Morona Santiago,,province,3523,35
2020-12-27,EC-S,Morona Santiago,,province,3523,35
2021-01-07,EC-S,Morona Santiago,,province,3733,37
2021-01-08,EC-S,Morona Santiago,,province,3733,37
2021-01-09,EC-S,Morona Santiago,,province,3733,37
2021-01-10,EC-S,Morona Santiago,,province,3733,37
2021-01-11,EC-S,Morona Santiago,,province,3733,37
2021-01-12,EC-S,Morona Santiago,,province,3733,37
2021-01-13,EC-S,Morona Santiago,,province,3733,37
2021-01-14,EC-S,Morona Santiago,,province,3733,37
2021-01-15,EC-S,Morona Santiago,,province,3733,37
2021-01-16,EC-S,Morona Santiago,,province,3733,37
2021-01-17,EC-S,Morona Santiago,,province,3733,37
2021-01-18,EC-S,Morona Santiago,,province,3733,37
2021-01-19,EC-S,Morona Santiago,,province,3733,37
2021-01-20,EC-S,Morona Santiago,,province,3733,37
2021-01-21,EC-S,Morona Santiago,,province,3733,37
2021-01-22,EC-S,Morona Santiago,,province,3733,37
2021-01-23,EC-S,Morona Santiago,,province,3733,37
2021-01-24,EC-S,Morona Santiago,,province,3733,37
2021-01-25,EC-S,Morona Santiago,,province,3733,37
2021-01-26,EC-S,Morona Santiago,,province,3733,37
2021-01-27,EC-S,Morona Santiago,,province,3733,37
2021-01-28,EC-S,Morona Santiago,,province,3733,37
2021-01-29,EC-S,Morona Santiago,,province,3733,37
2021-01-30,EC-S,Morona Santiago,,province,3733,37
2021-01-31,EC-S,Morona Santiago,,province,4198,39
2021-02-01,EC-S,Morona Santiago,,province,4198,39
2021-02-02,EC-S,Morona Santiago,,province,4198,39
2021-02-03,EC-S,Morona Santiago,,province,4198,39
2021-02-04,EC-S,Morona Santiago,,province,4198,39
2021-02-05,EC-S,Morona Santiago,,province,4198,39
2021-02-06,EC-S,Morona Santiago,,province,4198,39
2021-02-07,EC-S,Morona Santiago,,province,4198,39
2021-02-08,EC-S,Morona Santiago,,province,4198,39
2021-02-09,EC-S,Morona Santiago,,province,4198,39
2021-02-10,EC-S,Morona Santiago,,province,4198,39
2021-02-11,EC-S,Morona Santiago,,province,4198,39
2021-02-12,EC-S,Morona Santiago,,province,4198,39
2021-02-13,EC-S,Morona Santiago,,province,4198,39
2021-02-14,EC-S,Morona Santiago,,province,4303,41
2021-02-15,EC-S,Morona Santiago,,province,4303,41
2021-02-16,EC-S,Morona Santiago,,province,4303,41
2021-02-17,EC-S,Morona Santiago,,province,4303,41
2021-02-18,EC-S,Morona Santiago,,province,4303,41
2021-02-19,EC-S,Morona Santiago,,province,4303,41
2021-02-20,EC-S,Morona Santiago,,province,4303,41
2021-02-21,EC-S,Morona Santiago,,province,4303,41
2021-02-22,EC-S,Morona Santiago,,province,4303,41
2021-02-23,EC-S,Morona Santiago,,province,4303,41
2021-02-24,EC-S,Morona Santiago,,province,4303,41
2021-02-25,EC-S,Morona Santiago,,province,4303,41
2021-02-26,EC-S,Morona Santiago,,province,4303,41
2021-02-27,EC-S,Morona Santiago,,province,4371,41
2021-02-28,EC-S,Morona Santiago,,province,4371,41
2021-03-01,EC-S,Morona Santiago,,province,4371,41
2021-03-02,EC-S,Morona Santiago,,province,4371,41
2021-03-03,EC-S,Morona Santiago,,province,4371,41
2021-03-04,EC-S,Morona Santiago,,province,4371,41
2021-03-05,EC-S,Morona Santiago,,province,4371,41
2021-03-06,EC-S,Morona Santiago,,province,4371,41
2021-03-07,EC-S,Morona Santiago,,province,4371,41
2021-03-08,EC-S,Morona Santiago,,province,4371,41
2021-03-09,EC-S,Morona Santiago,,province,4371,41
2021-03-10,EC-S,Morona Santiago,,province,4371,41
2021-03-11,EC-S,Morona Santiago,,province,4371,41
2021-03-12,EC-S,Morona Santiago,,province,4371,41
2021-03-13,EC-S,Morona Santiago,,province,4371,41
2021-03-14,EC-S,Morona Santiago,,province,4509,47
2021-03-15,EC-S,Morona Santiago,,province,4509,47
2021-03-16,EC-S,Morona Santiago,,province,4509,47
2021-03-17,EC-S,Morona Santiago,,province,4509,47
2021-03-18,EC-S,Morona Santiago,,province,4509,47
2021-03-19,EC-S,Morona Santiago,,province,4509,47
2021-03-20,EC-S,Morona Santiago,,province,4509,47
2021-03-21,EC-S,Morona Santiago,,province,4509,47
2021-03-22,EC-S,Morona Santiago,,province,4509,47
2021-03-23,EC-S,Morona Santiago,,province,4509,47
2021-03-24,EC-S,Morona Santiago,,province,4509,47
2021-03-25,EC-S,Morona Santiago,,province,4574,47
2021-03-26,EC-S,Morona Santiago,,province,4574,47
2021-03-27,EC-S,Morona Santiago,,province,4574,47
2021-03-28,EC-S,Morona Santiago,,province,4574,47
2021-03-29,EC-S,Morona Santiago,,province,4574,47
2021-03-30,EC-S,Morona Santiago,,province,4574,47
2021-03-31,EC-S,Morona Santiago,,province,4574,47
2021-04-01,EC-S,Morona Santiago,,province,4574,47
2021-04-02,EC-S,Morona Santiago,,province,4574,47
2021-04-03,EC-S,Morona Santiago,,province,4574,47
2021-04-04,EC-S,Morona Santiago,,province,4574,47
2021-04-05,EC-S,Morona Santiago,,province,4574,47
2021-04-06,EC-S,Morona Santiago,,province,4574,47
2021-04-07,EC-S,Morona Santiago,,province,4574,47
2021-04-08,EC-S,Morona Santiago,,province,4574,47
2021-04-09,EC-S,Morona Santiago,,province,4574,47
2021-04-10,EC-S,Morona Santiago,,province,4574,47
2021-04-11,EC-S,Morona Santiago,,province,4831,51
2021-04-12,EC-S,Morona Santiago,,province,4831,51
2021-04-13,EC-S,Morona Santiago,,province,4831,51
2021-04-14,EC-S,Morona Santiago,,province,4831,51
2021-04-15,EC-S,Morona Santiago,,province,4831,51
2021-04-16,EC-S,Morona Santiago,,province,4831,51
2021-04-17,EC-S,Morona Santiago,,province,4831,51
2021-04-18,EC-S,Morona Santiago,,province,4831,51
2021-04-19,EC-S,Morona Santiago,,province,4831,51
2021-04-20,EC-S,Morona Santiago,,province,4831,51
2021-04-21,EC-S,Morona Santiago,,province,4831,51
2021-04-22,EC-S,Morona Santiago,,province,4831,51
2021-04-23,EC-S,Morona Santiago,,province,4831,51
2021-04-24,EC-S,Morona Santiago,,province,4831,51
2021-04-25,EC-S,Morona Santiago,,province,4831,51
2021-04-26,EC-S,Morona Santiago,,province,4831,51
2021-04-27,EC-S,Morona Santiago,,province,4831,51
2021-04-28,EC-S,Morona Santiago,,province,4831,51
