date,region,city,place_type,iso,cases,deaths,hospitalized,critical,recovered
2020-04-10,Comunidad Foral de Navarra,,autonomous_community,NC,,227,1641,124,603
2020-04-09,Comunidad Foral de Navarra,,autonomous_community,NC,,218,1620,124,560
2020-04-08,Comunidad Foral de Navarra,,autonomous_community,NC,,214,1526,124,462
2020-04-07,Comunidad Foral de Navarra,,autonomous_community,NC,,206,1526,124,450
2020-04-06,Comunidad Foral de Navarra,,autonomous_community,NC,,202,1488,124,421
2020-04-05,Comunidad Foral de Navarra,,autonomous_community,NC,,187,1432,124,380
2020-04-04,Comunidad Foral de Navarra,,autonomous_community,NC,,178,1399,123,334
2020-04-03,Comunidad Foral de Navarra,,autonomous_community,NC,,171,1341,120,311
2020-04-02,Comunidad Foral de Navarra,,autonomous_community,NC,,151,1284,119,294
2020-04-01,Comunidad Foral de Navarra,,autonomous_community,NC,,141,1181,108,278
2020-03-31,Comunidad Foral de Navarra,,autonomous_community,NC,,130,1120,104,236
2020-03-30,Comunidad Foral de Navarra,,autonomous_community,NC,,113,1035,99,192
2020-03-29,Comunidad Foral de Navarra,,autonomous_community,NC,,102,955,96,161
2020-03-28,Comunidad Foral de Navarra,,autonomous_community,NC,,84,896,90,125
2020-03-27,Comunidad Foral de Navarra,,autonomous_community,NC,,70,827,84,98
2020-03-26,Comunidad Foral de Navarra,,autonomous_community,NC,,58,732,75,70
2020-03-25,Comunidad Foral de Navarra,,autonomous_community,NC,,49,649,54,35
2020-03-24,Comunidad Foral de Navarra,,autonomous_community,NC,,33,506,51,23
2020-03-23,Comunidad Foral de Navarra,,autonomous_community,NC,,31,405,45,11
2020-03-22,Comunidad Foral de Navarra,,autonomous_community,NC,,24,339,40,7
2020-03-21,Comunidad Foral de Navarra,,autonomous_community,NC,,14,288,30,4
2020-03-20,Comunidad Foral de Navarra,,autonomous_community,NC,,9,222,25,1
2020-03-19,Comunidad Foral de Navarra,,autonomous_community,NC,,5,172,19,1
2020-03-18,Comunidad Foral de Navarra,,autonomous_community,NC,,4,132,11,0
2020-03-17,Comunidad Foral de Navarra,,autonomous_community,NC,,3,93,10,0
2020-03-16,Comunidad Foral de Navarra,,autonomous_community,NC,,2,72,10,0
2020-03-15,Comunidad Foral de Navarra,,autonomous_community,NC,,1,58,5,0
2020-03-14,Comunidad Foral de Navarra,,autonomous_community,NC,,0,34,4,0
2020-03-13,Comunidad Foral de Navarra,,autonomous_community,NC,,0,28,4,0
2020-03-12,Comunidad Foral de Navarra,,autonomous_community,NC,,0,28,4,0
2020-03-11,Comunidad Foral de Navarra,,autonomous_community,NC,,0,17,3,0
2020-03-10,Comunidad Foral de Navarra,,autonomous_community,NC,,0,10,3,0
2020-03-09,Comunidad Foral de Navarra,,autonomous_community,NC,,0,,2,
2020-03-08,Comunidad Foral de Navarra,,autonomous_community,NC,,0,,1,
2020-03-07,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-03-06,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-03-05,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-03-04,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-03-03,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-03-02,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-03-01,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-02-29,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-02-28,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-02-27,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-02-26,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-02-25,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-02-24,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-02-23,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-02-22,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-02-21,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
2020-02-20,Comunidad Foral de Navarra,,autonomous_community,NC,,,,,
